Oyuncu_Adi;Yas;Saha;Rakip;Oynama_Sure;Sayi;Rebound;Asist;PIR;Etki;Seyahat_Mesafe;Seyahat_Sure;Dinlenme_Sure;Tarih;Round;RakipForm;fg2;fg3
Marko Guduric;29;0;Valencia Basket;14;8;1;2;8;10;0;0;6;14.03.2024;29;0,2;1;0,67
Nigel Hayes-Davis;31;0;FC Barcelona;31;12;5;3;26;5;0;0;3;20.03.2024;30;0,5;0;0,67
Elijah Bryant;29;0;Olympiacos Piraeus;22;10;4;2;17;14;0;0;1;19.03.2024;30;0,83;1;0
Rodrigue Beaubois;36;0;Olympiacos Piraeus;20;11;2;2;16;6;0;0;1;19.03.2024;30;0,83;0,67;1
Marko Guduric;29;0;FC Barcelona;22;13;4;4;16;6;0;0;3;20.03.2024;30;0,5;0,5;0,25
Shane Larkin;31;0;Olympiacos Piraeus;26;15;2;6;15;8;0;0;3;19.03.2024;30;0,83;0,5;0,5
Will Clyburn;33;0;Olympiacos Piraeus;25;14;2;1;14;7;0;0;3;19.03.2024;30;0,83;0,5;0,5
Scottie Wilbekin;31;0;FC Barcelona;23;18;0;2;14;16;0;0;5;20.03.2024;30;0,5;1;0,44
Nick Calathes;35;0;FC Barcelona;26;13;4;0;13;10;0;0;5;20.03.2024;30;0,5;0,67;0,75
Derek Willis;28;0;Olympiacos Piraeus;20;13;0;1;12;10;0;0;1;19.03.2024;30;0,83;0,5;0,75
Darius Thompson;28;0;Olympiacos Piraeus;18;3;1;3;3;-4;0;0;1;19.03.2024;30;0,83;0;0,2
Dyshawn Pierre;30;0;FC Barcelona;14;3;2;0;3;-5;0;0;7;20.03.2024;30;0,5;0;0,5
Marko Guduric;29;1;Emporio Armani Milano;26;8;5;6;19;2;1664;120;1;22.03.2024;31;0,5;0,75;0
Scottie Wilbekin;31;1;Emporio Armani Milano;28;15;4;4;12;10;1664;120;1;22.03.2024;31;0,5;0;0,31
Nick Calathes;35;1;Emporio Armani Milano;24;2;3;6;6;-10;1664;120;1;22.03.2024;31;0,5;1;0
Nigel Hayes-Davis;31;1;Emporio Armani Milano;26;10;1;0;4;-1;1664;120;1;22.03.2024;31;0,5;0,5;0,5
Elijah Bryant;29;0;ALBA Berlin;24;24;5;4;33;14;0;0;1;21.03.2024;31;0;0,87;0,67
Will Clyburn;33;0;ALBA Berlin;22;13;3;2;16;-15;0;0;1;21.03.2024;31;0;0,67;0,43
Rodrigue Beaubois;36;0;ALBA Berlin;22;11;3;1;11;8;0;0;1;21.03.2024;31;0;0,25;0,75
Darius Thompson;28;0;ALBA Berlin;24;10;3;3;9;12;0;0;1;21.03.2024;31;0;0,83;0
